Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI
David Peralta,LAD,OF,36,133,394,47,102,25,1,7,55
Donovan Solano,MIN,2B,36,134,394,43,111,26,1,5,38
Luis Rengifo,LAA,2B,27,126,394,55,104,15,4,16,51
Andrew McCutchen,PIT,DH,37,112,390,55,100,19,0,12,43
Elly De La Cruz,CIN,SS,22,98,388,67,91,15,7,13,44
Christopher Morel,CHC,OF,24,107,388,62,96,17,3,26,70
Jon Berti,MIA,SS,34,133,388,53,114,16,3,7,33
Miguel Rojas,LAD,SS,35,125,385,49,91,16,1,5,31
Amed Rosario,CLE,SS,28,94,385,51,102,19,6,3,40
Yan Gomes,CHC,C,36,116,382,44,102,20,2,10,63
Francisco Alvarez,NYM,C,22,123,382,51,80,12,0,25,63
Riley Greene,DET,OF,23,99,378,51,109,19,4,11,37
Brandon Lowe,TB,2B,29,109,377,58,87,15,1,21,68
Alex Call,WAS,OF,29,128,375,43,75,14,1,8,38
Alek Thomas,ARI,OF,24,125,374,51,86,17,5,9,39
Elvis Andrus,CWS,SS,35,112,374,39,94,20,1,6,44
Anthony Rizzo,NYY,1B,34,99,373,45,91,14,0,12,41
Jarred Kelenic,SEA,OF,24,105,372,44,94,25,2,11,49
Alejandro Kirk,TOR,C,25,123,372,34,93,16,0,8,43
Connor Wong,BOS,C,28,126,371,55,87,25,2,9,36
Giancarlo Stanton,NYY,OF,34,101,371,43,71,13,0,24,60
Sean Murphy,ATL,C,29,108,370,65,93,21,0,21,68
Kevin Kiermaier,TOR,OF,34,129,370,58,98,21,6,8,36
Jeimer Candelario,WAS,3B,30,99,368,57,95,30,2,16,53
Aaron Judge,NYY,OF,32,106,367,79,98,16,0,37,75
Nolan Jones,COL,OF,26,106,367,60,109,22,4,20,62
Joey Wiemer,MIL,OF,25,132,367,48,75,19,0,13,42
Matt McLain,CIN,2B,24,89,365,65,106,23,4,16,50
Yasmani Grandal,CWS,C,35,118,363,33,85,14,0,8,33
Martin Maldonado,HOU,C,37,117,362,33,69,12,0,15,36
Jose Altuve,HOU,2B,34,90,360,76,112,21,2,17,51
Jesus Sanchez,MIA,OF,26,125,360,43,91,23,3,14,52
Ramon Urias,BAL,3B,30,116,360,45,95,22,3,4,42
Tony Kemp,OAK,2B,32,124,359,42,75,13,3,5,27
Charlie Blackmon,COL,OF,37,96,359,57,100,24,5,8,40
Joc Pederson,SF,OF,32,121,358,59,84,14,3,15,51
Willi Castro,MIN,OF,27,124,358,60,92,18,5,9,34
Luke Raley,TB,OF,29,118,357,56,89,23,3,19,49
Andy Ibanez,DET,2B,31,114,356,42,94,23,2,11,41
Taylor Ward,LAA,OF,30,97,356,60,90,18,0,14,47
Michael Taylor,MIN,OF,33,129,355,48,78,14,1,21,51
Yainer Diaz,HOU,C,25,104,355,51,100,22,0,23,60
Edward Olivares,KC,OF,28,107,354,47,93,23,4,12,36
Brett Baty,NYM,3B,24,108,353,41,75,12,0,9,34
Robbie Grossman,TEX,OF,34,115,353,56,84,23,1,10,49
Jazz Chisholm,MIA,OF,26,97,352,50,88,12,2,19,51
Josh Bell,CLE,1B,31,97,347,26,81,19,0,11,48
Ryan O'Hearn,BAL,1B,30,112,346,48,100,22,1,14,60
Carlos Santana,PIT,1B,38,94,345,45,81,25,0,12,53
Seth Brown,OAK,OF,31,112,343,33,76,19,1,14,52
Gabriel Moreno,ARI,C,24,111,341,33,97,19,1,7,50
Brandon Belt,TOR,1B,36,103,339,53,86,23,0,19,43
Chris Taylor,LAD,OF,33,117,338,51,80,15,1,15,56
Jose Siri,TB,OF,28,101,338,58,75,13,2,25,56
Edouard Julien,MIN,2B,25,109,338,60,89,16,1,16,37
Mike Tauchman,CHC,OF,33,108,337,64,85,18,0,8,48
Jake Fraley,CIN,OF,29,111,336,41,86,18,0,15,65
Kyle Farmer,MIN,SS,33,120,336,49,86,14,2,11,46
Ji Hwan Bae,PIT,OF,24,111,334,54,77,17,2,2,32
Yoan Moncada,CWS,3B,29,92,334,39,87,20,1,11,40
Miguel Cabrera,DET,DH,41,98,334,21,86,20,0,4,34
Jason Heyward,LAD,OF,34,124,334,56,90,23,0,15,40
Jarren Duran,BOS,OF,27,102,332,46,98,34,2,8,40
Jake Rogers,DET,C,29,107,331,47,73,11,0,21,49
Mike Yastrzemski,SF,OF,33,106,330,54,77,23,1,15,43
Christian Vazquez,MIN,C,33,102,327,34,73,13,0,6,32
Brendan Donovan,STL,2B,27,95,327,48,93,10,1,11,34
Patrick Bailey,SF,C,25,97,326,29,76,18,1,7,48
Isiah Kiner-Falefa,NYY,OF,29,115,326,39,79,12,1,6,37
Adam Duvall,BOS,OF,35,92,320,45,79,24,2,21,58
Brian Anderson,MIL,3B,31,96,318,38,72,12,3,9,40
Jorge Mateo,BAL,SS,28,116,318,58,69,14,2,7,34
Aledmys Diaz,OAK,SS,33,109,315,25,72,20,1,4,24
Starling Marte,NYM,OF,35,86,315,38,78,7,1,5,28
Christian Bethancourt,TB,C,32,104,315,49,71,16,0,11,33
Gabriel Arias,CLE,SS,24,122,315,36,66,15,0,10,26
Alec Burleson,STL,OF,25,107,315,34,77,20,1,8,36
Akil Baddoo,DET,OF,25,112,312,40,68,13,1,11,34
Mickey Moniak,LAA,OF,26,85,311,35,87,21,2,14,45
Gavin Sheets,CWS,OF,28,118,311,24,63,10,0,10,43
Rowdy Tellez,MIL,1B,29,106,311,26,67,9,1,13,47
Manuel Margot,TB,OF,29,99,311,39,82,21,1,4,38
Blake Sabol,SF,C,26,110,310,36,73,10,0,13,44
Jake Meyers,HOU,OF,27,112,309,42,70,16,1,10,33
Mike Trout,LAA,OF,32,82,308,54,81,14,1,18,44
Nick Pratto,KC,1B,25,95,306,33,71,16,0,7,35
Garrett Cooper,MIA,1B,33,82,305,28,78,11,1,13,46
Byron Buxton,MIN,DH,30,85,304,49,63,17,1,17,42
Nick Allen,OAK,SS,25,106,303,29,67,4,2,4,20
Taylor Walls,TB,SS,27,99,303,50,61,12,2,8,36
Drew Waters,KC,OF,25,98,302,40,69,11,5,8,32
Jorge Polanco,MIN,2B,30,80,302,38,77,18,0,14,48
Jean Segura,MIA,3B,34,85,301,25,66,5,2,3,21
Nick Senzel,CIN,OF,28,104,301,49,71,10,0,13,42
Kris Bryant,COL,OF,32,80,300,36,70,10,0,10,31
Yuli Gurriel,MIA,1B,40,108,298,32,73,16,3,4,27
Corey Julks,HOU,OF,28,93,298,35,73,14,0,6,33
Oswaldo Cabrera,NYY,OF,25,115,298,35,63,11,0,5,29
Enrique Hernandez,BOS,SS,32,86,297,38,66,11,0,6,31
Joey Wendle,MIA,3B,34,112,297,33,63,16,3,2,20
Mitch Garver,TEX,C,33,87,296,45,80,11,0,19,50
Jake Burger,CWS,3B,28,88,294,44,63,15,1,25,52
Nick Fortes,MIA,C,27,108,294,33,60,10,0,6,26
Kyle Isbel,KC,OF,27,91,292,45,70,22,2,5,34
Owen Miller,MIL,2B,27,90,291,29,76,17,0,5,27
Cavan Biggio,TOR,2B,29,111,289,54,68,12,0,9,40
Zach Neto,LAA,SS,23,84,289,38,65,17,0,9,34
Harrison Bader,NYY,OF,30,84,288,40,69,11,2,7,37
Will Benson,CIN,OF,25,108,287,51,79,15,8,11,31
Ryan Jeffers,MIN,C,27,96,286,46,79,15,2,14,43
Elehuris Montero,COL,3B,25,85,284,40,69,15,2,11,39
Brandon Crawford,SF,SS,37,94,283,31,55,11,1,7,38
Joey Gallo,MIN,OF,30,111,282,39,50,9,1,21,40
Andruw Monasterio,MIL,2B,27,92,282,38,73,14,1,3,27
Alex Kirilloff,MIN,1B,26,88,281,35,76,14,1,11,41
Jace Peterson,OAK,3B,34,93,281,30,62,7,2,6,28
Paul DeJong,STL,SS,30,81,279,38,65,11,0,13,32
Edmundo Sosa,PHI,SS,28,104,279,34,70,15,2,10,30
Jake McCarthy,ARI,OF,26,99,276,37,67,7,5,2,16
Daniel Vogelbach,NYM,DH,31,104,275,33,64,8,0,13,48
Jordan Diaz,OAK,2B,23,90,272,20,60,9,0,10,27
Nick Madrigal,CHC,2B,27,92,270,34,71,16,1,2,28
Zack Gelof,OAK,2B,24,69,270,40,72,20,1,14,32
Danny Jansen,TOR,C,29,86,268,38,61,15,0,17,53
Patrick Wisdom,CHC,3B,32,97,268,43,55,8,1,23,46
Travis d'Arnaud,ATL,C,35,74,267,31,60,13,0,11,39
Eric Haase,DET,C,31,86,264,22,53,8,1,4,26
Ildemaro Vargas,WAS,3B,32,86,262,32,66,13,2,4,31
Matt Thaiss,LAA,C,29,95,262,32,56,6,0,9,31
Harold Castro,COL,2B,30,99,258,24,65,13,0,1,31
Mark Canha,NYM,OF,35,89,257,28,63,15,1,6,29
Emmanuel Rivera,ARI,3B,27,86,257,32,67,13,0,4,29
Miguel Vargas,LAD,2B,24,81,256,36,50,15,4,7,32
JJ Bleday,OAK,OF,26,82,256,35,50,11,0,10,27
Casey Schmitt,SF,SS,25,90,253,28,52,15,0,5,30
Nick Maton,DET,3B,27,93,249,29,43,9,0,8,32
Joshua Palacios,PIT,OF,28,91,247,26,59,9,2,10,40
Travis Jankowski,TEX,OF,32,107,247,34,65,12,1,1,30
Oscar Colas,CWS,OF,25,75,245,32,53,9,0,5,19
Jake Bauers,NYY,1B,28,84,242,28,49,15,0,12,30
Kyle Higashioka,NYY,C,34,92,242,24,57,13,0,10,34
Jacob Stallings,MIA,C,34,89,241,22,46,14,0,3,20
Randal Grichuk,COL,OF,32,64,240,40,74,19,1,8,27
Tyler O'Neill,STL,OF,28,72,238,27,55,14,0,9,21
Mike Moustakas,LAA,3B,35,65,237,22,56,8,0,8,31
Trey Mancini,CHC,1B,32,79,235,31,55,12,0,4,28
Gary Sanchez,SD,C,31,72,234,33,51,9,0,19,46
Stone Garrett,WAS,OF,28,89,234,40,63,17,0,9,40
Jose Caballero,SEA,2B,27,104,231,37,51,9,1,4,26
Tommy Pham,NYM,OF,36,79,231,29,62,15,1,10,36
Tyrone Taylor,MIL,OF,30,81,231,36,54,17,1,10,35
Vinnie Pasquantino,KC,1B,26,61,231,24,57,17,0,9,26
Santiago Espinal,TOR,2B,29,93,230,30,57,14,0,2,25
Luis Matos,SF,OF,22,76,228,24,57,13,1,2,14
Ramon Laureano,OAK,OF,29,64,225,24,48,10,3,6,21
Kevin Newman,CIN,SS,30,74,225,28,57,16,0,3,28
Henry Davis,PIT,OF,24,62,225,27,48,10,0,7,24
Andrew Knizner,STL,C,29,70,224,30,54,11,0,10,31
Christian Encarnacion-Strand,CIN,1B,24,63,222,29,60,7,0,13,37
Zack Short,DET,2B,29,112,221,17,45,9,0,7,33
Garrett Hampson,MIA,SS,29,98,221,30,61,12,1,3,23
Dylan Carlson,STL,OF,25,76,219,27,48,8,1,5,27
Stuart Fairchild,CIN,OF,28,97,219,34,50,16,2,5,28
Mike Ford,SEA,DH,31,84,219,32,50,6,0,16,34
Mark Vientos,NYM,DH,24,65,218,19,46,5,1,9,22
Royce Lewis,MIN,3B,25,58,217,36,67,7,0,15,52
Freddy Fermin,KC,C,29,70,217,26,61,10,1,9,32
Gio Urshela,LAA,3B,32,62,214,22,64,8,1,2,24
Matt Wallner,MIN,OF,26,76,213,42,53,11,1,14,41
Evan Longoria,ARI,3B,38,74,211,25,47,9,0,11,28
Mitch Haniger,SF,OF,33,61,211,27,44,13,1,6,28
C.J. Cron,COL,1B,34,56,208,31,54,12,0,11,32
Joey Votto,CIN,1B,40,65,208,26,42,6,0,14,38
Jordan Westburg,BAL,2B,25,68,208,26,54,17,2,3,23
James McCann,BAL,C,33,70,207,25,46,14,0,6,26
Alan Trejo,COL,SS,28,83,207,24,48,11,0,4,26
Carlos Santana,MIL,1B,38,52,205,33,51,8,1,11,33
Tucupita Marcano,PIT,OF,24,75,202,16,47,12,2,3,18
Rob Refsnyder,BOS,OF,33,89,202,31,50,9,1,1,28
Victor Caratini,MIL,C,30,62,201,23,52,4,0,7,25
Josh Bell,MIA,1B,31,53,200,26,54,9,0,11,26
Aaron Hicks,BAL,OF,34,65,200,35,55,7,1,7,31
Nick Ahmed,ARI,SS,34,72,198,14,42,10,1,2,17
Bo Naylor,CLE,C,24,67,198,33,47,13,0,11,32
Jake Burger,MIA,3B,28,53,198,27,60,13,0,9,28
Liover Peguero,PIT,SS,23,59,198,21,47,4,1,7,26
Rodolfo Castro,PIT,2B,25,78,197,19,45,7,0,6,22
Kevin Pillar,ATL,OF,35,81,197,29,45,10,0,9,32
Tommy Pham,ARI,OF,36,50,195,26,47,12,2,6,32
Christian Arroyo,BOS,2B,29,66,195,23,47,16,0,3,24
Josh Smith,TEX,SS,26,90,195,29,36,8,1,6,15
Randal Grichuk,LAA,OF,32,54,194,25,42,12,1,8,17
Kolten Wong,SEA,2B,33,67,194,21,32,6,0,2,19
Matt Duffy,KC,3B,33,79,191,17,48,8,0,2,16
Pavin Smith,ARI,OF,28,69,191,26,36,5,0,7,30
Sal Frelick,MIL,OF,24,57,191,29,47,9,1,3,24
Josh Rojas,ARI,3B,29,59,189,23,43,13,0,0,26
Matt Carpenter,SD,DH,38,76,188,18,33,12,0,5,31
Reese McGuire,BOS,C,29,72,187,15,50,12,1,1,16
Endy Rodriguez,PIT,C,24,57,186,27,41,7,2,3,13
Austin Slater,SF,OF,31,89,185,24,50,9,0,5,20
Jake Cave,PHI,OF,31,65,184,18,39,8,1,5,21
Trevor Larnach,MIN,OF,27,58,183,26,39,7,3,8,40
Logan O'Hoppe,LAA,C,24,51,182,23,43,6,0,14,29
Jared Triolo,PIT,3B,26,54,181,30,54,9,0,3,21
Luke Maile,CIN,C,33,78,179,17,42,10,0,6,25
Austin Barnes,LAD,C,34,59,178,15,32,5,0,2,11
Brendan Rodgers,COL,2B,27,46,178,21,46,9,1,4,20
Eduardo Escobar,LAA,3B,35,60,178,17,39,3,3,2,15
Mark Canha,MIL,OF,35,50,178,23,51,10,0,5,33
Oswald Peraza,NYY,3B,23,52,173,15,33,8,0,2,14
Oscar Gonzalez,CLE,OF,26,54,173,15,37,7,2,2,12
Carlos Perez,OAK,C,33,68,168,17,38,4,0,6,20
Enrique Hernandez,LAD,SS,32,54,168,19,44,12,0,5,30
Jason Delay,PIT,C,29,70,167,20,42,11,1,1,18
Pablo Reyes,BOS,SS,30,64,167,27,48,9,0,2,20
Jesse Winker,MIL,OF,30,61,166,16,33,5,0,1,23
Lenyn Sosa,CWS,2B,24,52,164,12,33,6,0,6,14
Luis Campusano,SD,C,25,49,163,27,52,7,0,7,30
Seby Zavala,CWS,C,30,66,161,15,25,3,0,7,16
Austin Hedges,PIT,C,31,65,161,13,29,5,0,1,14
DJ Stewart,NYM,OF,30,58,160,21,39,9,0,11,26
Nicky Lopez,KC,2B,29,68,160,19,34,5,3,0,13
Jake Alu,WAS,2B,27,51,159,14,36,2,1,2,16
Trevor Story,BOS,SS,31,43,158,12,32,9,0,3,14
Kole Calhoun,CLE,OF,36,43,157,18,34,7,0,6,25
Jose Trevino,NYY,C,31,55,157,15,33,4,0,4,15
Chad Wallach,LAA,C,32,65,157,18,31,5,1,7,15
Tyler Freeman,CLE,3B,25,64,153,20,37,7,0,4,18
Francisco Mejia,TB,C,28,50,150,22,34,11,0,5,19
Johan Rojas,PHI,OF,23,59,149,24,45,9,2,2,23
Anthony Rendon,LAA,3B,34,43,148,23,35,6,0,2,22
Zach Remillard,CWS,2B,30,54,147,16,37,7,0,1,18
Tom Murphy,SEA,C,33,47,145,19,42,12,0,8,17
Dylan Moore,SEA,OF,31,67,145,18,30,9,1,7,19
Corey Dickerson,WAS,OF,35,50,144,12,36,7,1,2,17
Cam Gallagher,CLE,C,31,56,143,6,18,6,0,0,7
Blake Perkins,MIL,OF,27,67,143,28,31,7,0,4,20
Riley Adams,WAS,C,27,44,143,8,39,13,2,4,21
Nelson Cruz,SD,DH,43,49,143,9,35,5,1,5,23
Jose Miranda,MIN,3B,25,40,142,12,30,4,0,3,13
Michael Toglia,COL,OF,25,45,141,18,23,5,0,4,9
Kody Clemens,PHI,3B,28,49,139,15,32,7,0,4,13
Enmanuel Valdez,BOS,2B,25,49,139,17,37,8,0,6,19
Rougned Odor,SD,2B,30,59,138,21,28,9,0,4,18
Jeimer Candelario,CHC,3B,30,41,137,20,32,9,1,6,17
Jonathan Schoop,DET,2B,32,55,136,15,29,8,0,0,7
Ramon Laureano,CLE,OF,29,41,136,22,33,8,1,3,14
Kevin Smith,OAK,SS,27,49,135,15,25,4,0,5,11
Dominic Canzone,SEA,OF,26,44,135,19,29,11,0,5,13
Willie Calhoun,NYY,OF,29,44,134,16,32,7,0,5,16
Jose Barrero,CIN,OF,26,46,133,15,29,8,0,2,17
Nelson Velazquez,KC,OF,25,40,133,27,31,4,0,14,28
Miles Mastrobuoni,CHC,3B,28,61,133,24,32,5,0,1,5
Miguel Amaya,CHC,C,25,53,131,17,28,4,0,5,18
Austin Nola,SD,C,34,52,130,9,19,3,0,1,8
Omar Narvaez,NYM,C,32,49,128,12,27,5,0,2,7
Billy McKinney,NYY,OF,29,48,128,19,29,3,1,6,14
Wil Myers,CIN,OF,33,37,127,11,24,3,0,3,12
